t,des_c1,des_c2,des_c3,act_c1,act_c2,act_c3,err_c1,err_c2,err_c3,pose_x,pose_y,pose_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0
6.9,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
7.0,0.01,0.0,0.0,0.000390016185,0.0,0.0,0.009609983815,0.0,0.0,0.0,0.0,0.0
7.1,0.01,0.0,0.0,0.0007799916111,0.0,0.0,0.0092200083889,0.0,0.0,0.0,0.0,0.0
7.2,0.01,0.0,0.0,0.0011700492141,0.0,0.0,0.008829950785900001,0.0,0.0,0.0,0.0,0.0
7.3,0.01,0.0,0.0,0.0015599804064,0.0,0.0,0.0084400195936,0.0,0.0,0.0,0.0,0.0
7.4,0.01,0.0,0.0,0.0019500495260999999,0.0,0.0,0.008049950473900001,0.0,0.0,0.0,0.0,0.0
7.5,0.015,0.0,0.0,0.0023399766585,0.0,0.0,0.0126600233415,0.0,0.0,0.0,0.0,0.0
7.6,0.015,0.0,0.0,0.0027299763582,0.0,0.0,0.0122700236418,0.0,0.0,0.0,0.0,0.0
7.7,0.015,0.0,0.0,0.0031199699583,0.0,0.0,0.011880030041699999,0.0,0.0,0.0,0.0,0.0
7.8,0.015,0.0,0.0,0.0035100457782,0.0,0.0,0.011489954221799999,0.0,0.0,0.0,0.0,0.0
7.9,0.015,0.0,0.0,0.0039000709175999997,0.0,0.0,0.0110999290824,0.0,0.0,0.0,0.0,0.0
8.0,0.015,0.0,0.0,0.0042900718263,0.0,0.0,0.0107099281737,0.0,0.0,0.0,0.0,0.0
8.1,0.015,0.0,0.0,0.0046800328809,0.0,0.0,0.0103199671191,0.0,0.0,0.0,0.0,0.0
8.2,0.015,0.0,0.0,0.0050700627471,0.0,0.0,0.0099299372529,0.0,0.0,0.0,0.0,0.0
8.3,0.02,0.0,0.0,0.0054600750672,0.0,0.0,0.0145399249328,0.0,0.0,0.0,0.0,0.0
8.4,0.025,0.0,0.0,0.0058500559923,0.0,0.0,0.019149944007700002,0.0,0.0,0.0,0.0,0.0
8.5,0.025,0.0,0.0,0.006239973597,0.0,0.0,0.018760026403,0.0,0.0,0.0,0.0,0.0
8.6,0.025,0.0,0.0,0.0066300703287,0.0,0.0,0.018369929671300002,0.0,0.0,0.0,0.0,0.0
8.7,0.03,0.0,0.0,0.0070200453764999995,0.0,0.0,0.0229799546235,0.0,0.0,0.0,0.0,0.0
8.8,0.035,0.0,0.0,0.0074100440270999995,0.0,0.0,0.027589955972900003,0.0,0.0,0.0,0.0,0.0
8.9,0.035,0.0,0.0,0.007799995706099999,0.0,0.0,0.027200004293900005,0.0,0.0,0.0,0.0,0.0
9.0,0.04,0.0,0.0,0.0081899779026,0.0,0.0,0.0318100220974,0.0,0.0,0.0,0.0,0.0
9.1,0.04,0.0,0.0,0.008580048960599999,0.0,0.0,0.0314199510394,0.0,0.0,0.0,0.0,0.0
9.2,0.045,0.0,0.0,0.008993502612433363,0.0,0.0,0.03600649738756664,0.0,0.0,0.0,0.0,0.0
9.3,0.05,0.0,0.0,0.009402040285774736,0.0,0.0,0.040597959714225265,0.0,0.0,0.0,0.0,0.0
9.4,0.055,0.0,0.0,0.00987013629009519,0.0,0.0,0.04512986370990481,0.0,0.0,0.0,0.0,0.0
9.5,0.07,0.0,0.0,0.010397794833150188,0.0,0.0,0.05960220516684982,0.0,0.0,0.0,0.0,0.0
9.6,0.075,0.0,0.0,0.01098447092866639,0.0,0.0,0.06401552907133361,0.0,0.0,0.0,0.0,0.0
9.7,0.08,0.0,0.0,0.011759339081104317,0.0,0.0,0.06824066091889569,0.0,0.0,0.0,0.0,0.0
9.8,0.1,0.0,0.0,0.012591536664869963,0.0,0.0,0.08740846333513004,0.0,0.0,0.0,0.0,0.0
9.9,0.11,0.0,0.0,0.01347870166457302,0.0,0.0,0.09652129833542698,0.0,0.0,0.0,0.0,0.0
10.0,0.125,0.0,0.0,0.014614963031134512,0.0,0.0,0.1103850369688655,0.0,0.0,0.0,0.0,0.0
10.1,0.125,0.0,0.0,0.01586970124981944,0.0,0.0,0.10913029875018056,0.0,0.0,0.0,0.0,0.0
10.2,0.13,0.0,0.0,0.01730499193775396,0.0,0.0,0.11269500806224604,0.0,0.0,0.0,0.0,0.0
10.3,0.13,0.0,0.0,0.01872350395913735,0.0,0.0,0.11127649604086265,0.0,0.0,0.0,0.0,0.0
10.4,0.13,0.0,0.0,0.020188579454964387,0.0,0.0,0.10981142054503562,0.0,0.0,0.0,0.0,0.0
10.5,0.14,0.0,0.0,0.02163538882403282,0.0,0.0,0.1183646111759672,0.0,0.0,0.0,0.0,0.0
10.6,0.145,0.0,0.0,0.02306262098920443,0.0,0.0,0.12193737901079556,0.0,0.0,0.0,0.0,0.0
10.7,0.145,0.0,0.0,0.02460140437312066,0.0,0.0,0.12039859562687932,0.0,0.0,0.0,0.0,0.0
10.8,0.145,0.0,0.0,0.026186852965569128,0.0,0.0,0.11881314703443085,0.0,0.0,0.0,0.0,0.0
