t,des_c1,des_c2,des_c3,act_c1,act_c2,act_c3,err_c1,err_c2,err_c3,pose_x,pose_y,pose_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0
5.4,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0
5.5,0.0,-0.035,0.0,0.0,0.0,0.0,0.0,-0.035,0.0,0.0,0.0,0.0
5.6,0.0,-0.035,0.0,0.0,-6.499874875e-05,0.0,0.0,-0.03493500125125,0.0,0.0,0.0,0.0
5.7,0.0,-0.04,0.0,0.0,-0.00019500133965,0.0,0.0,-0.03980499866035,0.0,0.0,0.0,0.0
5.8,0.0,-0.04,0.0,0.0,-0.0006491375175661752,0.0,0.0,-0.03935086248243382,0.0,0.0,0.0,0.0
5.9,0.0,-0.04,0.0,0.0,-0.0011016211688559066,0.0,0.0,-0.038898378831144095,0.0,0.0,0.0,0.0
6.0,0.0,-0.065,0.0,0.0,-0.0016131745900502836,0.0,0.0,-0.06338682540994972,0.0,0.0,0.0,0.0
6.1,0.0,-0.065,0.0,0.0,-0.002118841095380764,0.0,0.0,-0.06288115890461923,0.0,0.0,0.0,0.0
6.2,0.0,-0.07,0.0,0.0,-0.0026178594708639556,0.0,0.0,-0.06738214052913605,0.0,0.0,0.0,0.0
6.3,0.0,-0.09,0.0,0.0,-0.003435314544798556,0.0,0.0,-0.08656468545520143,0.0,0.0,0.0,0.0
6.4,0.0,-0.095,0.0,0.0,-0.00424630642498307,0.0,0.0,-0.09075369357501693,0.0,0.0,0.0,0.0
6.5,0.0,-0.095,0.0,0.0,-0.005111639963196127,0.0,0.0,-0.08988836003680388,0.0,0.0,0.0,0.0
6.6,0.0,-0.095,0.0,0.0,-0.006226619034017203,0.0,0.0,-0.08877338096598279,0.0,0.0,0.0,0.0
6.7,0.0,-0.12,0.0,0.0,-0.007395261735922485,0.0,0.0,-0.1126047382640775,0.0,0.0,0.0,0.0
6.8,0.0,-0.12,0.0,0.0,-0.008549346097801912,0.0,0.0,-0.11145065390219808,0.0,0.0,0.0,0.0
6.9,0.0,-0.12,0.0,0.0,-0.009687950517508988,0.0,0.0,-0.11031204948249101,0.0,0.0,0.0,0.0
7.0,0.0,-0.12,0.0,0.0,-0.011136791602958385,0.0,0.0,-0.10886320839704161,0.0,0.0,0.0,0.0
7.1,0.0,-0.12,0.0,0.0,-0.012570806300073952,0.0,0.0,-0.10742919369992604,0.0,0.0,0.0,0.0
7.2,0.0,-0.12,0.0,0.0,-0.01398603425036323,0.0,0.0,-0.10601396574963677,0.0,0.0,0.0,0.0
7.3,0.0,-0.12,0.0,0.0,-0.015382617846474461,0.0,0.0,-0.10461738215352553,0.0,0.0,0.0,0.0
7.4,0.0,-0.12,0.0,0.0,-0.01676088764618469,0.0,0.0,-0.1032391123538153,0.0,0.0,0.0,0.0
7.5,0.0,-0.125,0.0,0.0,-0.01812093367456355,0.0,0.0,-0.10687906632543645,0.0,0.0,0.0,0.0
7.6,0.0,-0.135,0.0,0.0,-0.01946297358026298,0.0,0.0,-0.11553702641973702,0.0,0.0,0.0,0.0
7.7,0.0,-0.145,0.0,0.0,-0.020787395350125488,0.0,0.0,-0.1242126046498745,0.0,0.0,0.0,0.0
7.8,0.0,-0.145,0.0,0.0,-0.022159751011252005,0.0,0.0,-0.12284024898874799,0.0,0.0,0.0,0.0
7.9,0.0,-0.145,0.0,0.0,-0.023644141512980027,0.0,0.0,-0.12135585848701996,0.0,0.0,0.0,0.0
8.0,0.0,-0.145,0.0,0.0,-0.025241435331840097,0.0,0.0,-0.1197585646681599,0.0,0.0,0.0,0.0
8.1,0.0,-0.145,0.0,0.0,-0.026819015835670278,0.0,0.0,-0.1181809841643297,0.0,0.0,0.0,0.0
8.2,0.0,-0.145,0.0,0.0,-0.028375892791675603,0.0,0.0,-0.11662410720832439,0.0,0.0,0.0,0.0
8.3,0.0,-0.145,0.0,0.0,-0.029911893899293784,0.0,0.0,-0.1150881061007062,0.0,0.0,0.0,0.0
8.4,0.0,-0.145,0.0,0.0,-0.03142803787300915,0.0,0.0,-0.11357196212699083,0.0,0.0,0.0,0.0
8.5,0.0,-0.145,0.0,0.0,-0.03292444890789188,0.0,0.0,-0.11207555109210811,0.0,0.0,0.0,0.0
8.6,0.0,-0.145,0.0,0.0,-0.03440092380684211,0.0,0.0,-0.11059907619315788,0.0,0.0,0.0,0.0
8.7,0.0,-0.145,0.0,0.0,-0.035857552754853445,0.0,0.0,-0.10914244724514655,0.0,0.0,0.0,0.0
8.8,0.0,-0.145,0.0,0.0,-0.037295392778911876,0.0,0.0,-0.10770460722108811,0.0,0.0,0.0,0.0
8.9,0.0,-0.115,0.0,0.0,-0.038714252027882284,0.0,0.0,-0.07628574797211772,0.0,0.0,0.0,0.0
9.0,0.0,-0.1,0.0,0.0,-0.04011463121479901,0.0,0.0,-0.059885368785200996,0.0,0.0,0.0,0.0
9.1,0.0,-0.095,0.0,0.0,-0.04149609555791147,0.0,0.0,-0.05350390444208853,0.0,0.0,0.0,0.0
9.2,0.0,-0.085,0.0,0.0,-0.0424698356553311,0.0,0.0,-0.04253016434466891,0.0,0.0,0.0,0.0
9.3,0.0,-0.075,0.0,0.0,-0.043230182608291694,0.0,0.0,-0.031769817391708303,0.0,0.0,0.0,0.0
9.4,0.0,-0.075,0.0,0.0,-0.0439130788079806,0.0,0.0,-0.031086921192019397,0.0,0.0,0.0,0.0
9.5,0.0,-0.075,0.0,0.0,-0.04445611447498662,0.0,0.0,-0.03054388552501338,0.0,0.0,0.0,0.0
9.6,0.0,-0.045,0.0,0.0,-0.04486034528495306,0.0,0.0,-0.00013965471504694127,0.0,0.0,0.0,0.0
9.7,0.0,-0.03,0.0,0.0,-0.04525729550823738,0.0,0.0,0.01525729550823738,0.0,0.0,0.0,0.0
9.8,0.0,-0.01,0.0,0.0,-0.04564910970303287,0.0,0.0,0.035649109703032866,0.0,0.0,0.0,0.0
9.9,0.0,0.0,0.0,0.0,-0.045645764860957505,0.0,0.0,0.045645764860957505,0.0,0.0,0.0,0.0
10.0,0.0,-0.005,0.0,0.0,-0.04544232644905877,0.0,0.0,0.04044232644905877,0.0,0.0,0.0,0.0
10.1,0.0,-0.005,0.0,0.0,-0.044978906603022076,0.0,0.0,0.03997890660302208,0.0,0.0,0.0,0.0
10.2,0.0,-0.005,0.0,0.0,-0.044388182198599975,0.0,0.0,0.03938818219859998,0.0,0.0,0.0,0.0
10.3,0.0,0.0,0.0,0.0,-0.04386845497831752,0.0,0.0,0.04386845497831752,0.0,0.0,0.0,0.0
